Constituency_ID,Constituency_Name,Winner_Name,Winner_Party,Winner,Region,Margin,Turnout_Percentage,Seats
188,Melukote,Darshan Puttannaiah,SKP,Others,Karnataka,0,72.0,1
189,Mandya,Ravikumar Gowda,INC,INC,Karnataka,0,72.0,1
190,Shrirangapattana,A. B. Ramesha Bandisiddegowda,INC,INC,Karnataka,0,72.0,1
191,Nagamangala,Shreenivasaiah N,INC,INC,Karnataka,0,72.0,1
192,Krishnarajapet,H. T. Manju,JD(S),JDS,Karnataka,0,72.0,1
193,Shravanabelagola,C. N. Balakrishna,JD(S),JDS,Karnataka,0,72.0,1
194,Arsikere,K.M. Shivalingegowda,INC,INC,Karnataka,0,72.0,1
195,Belur,H K Suresh,BJP,BJP,Karnataka,0,72.0,1
196,Hassan,Swaroop Prakash,JD(S),JDS,Karnataka,0,72.0,1
197,Holenarasipur,H D Revanna,JD(S),JDS,Karnataka,0,72.0,1
198,Arkalgud,A Manju,JD(S),JDS,Karnataka,0,72.0,1
199,Sakaleshpur (SC),Cement Manju,BJP,BJP,Karnataka,0,72.0,1
200,Belthangady,Harish Poonja,BJP,BJP,Karnataka,0,72.0,1
201,Moodabidri,Umanatha Kotian,BJP,BJP,Karnataka,0,72.0,1
202,Mangalore City North,Bharath Shetty Y,BJP,BJP,Karnataka,0,72.0,1
203,Mangalore City South,D Vedavyasa Kamath,BJP,BJP,Karnataka,0,72.0,1
204,Mangalore,U.T. Khader Fareed,INC,INC,Karnataka,0,72.0,1
205,Bantval,Rajesh Naik U,BJP,BJP,Karnataka,0,72.0,1
206,Puttur,Ashok Kumar Rai,INC,INC,Karnataka,0,72.0,1
207,Sullia (SC),Bhagirathi Murulya,BJP,BJP,Karnataka,0,72.0,1
208,Madikeri,Mantar Gowda,INC,INC,Karnataka,0,72.0,1
209,Virajpet,A S Ponnanna,INC,INC,Karnataka,0,72.0,1
210,Piriyapatna,K Venkatesh,INC,INC,Karnataka,0,72.0,1
211,Krishnarajanagara,Ravishankar D.,INC,INC,Karnataka,0,72.0,1
212,Hunsur,G.D. Harish Gowda,JD(S),JDS,Karnataka,0,72.0,1
213,Heggadadevankote (ST),Anil Chikkamadhu,INC,INC,Karnataka,0,72.0,1
214,Nanjangud (SC),Darshan Dhruvyanarayana,INC,INC,Karnataka,0,72.0,1
215,Chamundeshwari,G.T. Devegowda,JD(S),JDS,Karnataka,0,72.0,1
216,Krishnaraja,T.S Srivathsa,BJP,BJP,Karnataka,0,72.0,1
217,Chamaraja,K. Harish Gowda,INC,INC,Karnataka,0,72.0,1
218,Narasimharaja,Tanveer Sait,INC,INC,Karnataka,0,72.0,1
219,Varuna,Siddaramaiah,INC,INC,Karnataka,0,72.0,1
220,T.Narasipur (SC),H. C. Mahadevappa,INC,INC,Karnataka,0,72.0,1
221,Hanur,M.R Manjunath,JD(S),JDS,Karnataka,0,72.0,1
222,Kollegal (SC),A.R. Krishnamurthy,INC,INC,Karnataka,0,72.0,1
223,Chamarajanagar,C. Puttarangashetty,INC,INC,Karnataka,0,72.0,1
224,Gundlupet,H.M. Ganesh Prasad,INC,INC,Karnataka,0,72.0,1
